12,O-naf
af,I-naf
tloc:,O-tgt_location
spadafora,I-tgt_location
nan,O-tgt_industry
date,O-msndate
1943-08-15,I-msndate
a36,O-mds
dummy,O
,
unit:,O-naf
5,I-naf
af,I-naf
at,O-takeoff_base
nan,I-takeoff_base
tloc:,O-tgt_location
puerta,I-tgt_location
princesa,I-tgt_location
nan,O-tgt_industry
dt:,O-msndate
desig:,O-mds
a20,I-mds
dummy,O
,
12,O-naf
af,I-naf
payload:,O-tons_of_he
9.0kg,I-tons_of_he
tloc:,O-tgt_location
cosenza,I-tgt_location
nan,O-tgt_industry
date,O-msndate
1943-08-15,I-msndate
desig:,O-mds
a36,I-mds
dummy,O
,
payload:,O-tons_of_he
7.5kg,I-tons_of_he
at,O-takeoff_base
ponte,I-takeoff_base
olivo,I-takeoff_base
airfield,I-takeoff_base
target,O-tgt_location
gioja,I-tgt_location
tauro,I-tgt_location
nan,O-tgt_industry
date,O-msndate
1943-08-15,I-msndate
a36,O-mds
dummy,O
,
unit,O-naf
5,I-naf
af,I-naf
during,O-takeoff_base
trgt,O-tgt_location
balete,I-tgt_location
pass,I-tgt_location
type:,O-tgt_industry
nan,I-tgt_industry
dt:,O-msndate
dummy,O
,
unit,O-naf
5,I-naf
af,I-naf
nan,O-takeoff_base
target,O-tgt_location
puerta,I-tgt_location
princesa,I-tgt_location
nan,O-tgt_industry
dt:,O-msndate
desig:,O-mds
a20,I-mds
dummy,O
,
payload:,O-tons_of_he
nankg,I-tons_of_he
during,O-takeoff_base
target,O-tgt_location
formosa,I-tgt_location
date,O-msndate
1945-03-11,I-msndate
dummy,O
,
unit:,O-naf
5,I-naf
af,I-naf
payload:,O-tons_of_he
nankg,I-tons_of_he
tloc:,O-tgt_location
caballo,I-tgt_location
nan,O-tgt_industry
desig:,O-mds
p47,I-mds
dummy,O
,
unit:,O-naf
12,I-naf
af,I-naf
during,O-takeoff_base
ponte,I-takeoff_base
olivo,I-takeoff_base
target,O-tgt_location
scilla,I-tgt_location
nan,O-tgt_industry
date,O-msndate
1943-08-15,I-msndate
dummy,O
,
0.0kg,O-tons_of_he
dropped,I-tons_of_he
to,O-tgt_location
gioja,I-tgt_location
tauro,I-tgt_location
armament,O-tgt_industry
and,I-tgt_industry
ordnance,I-tgt_industry
plants,I-tgt_industry
on,O-msndate
1943-08-15,I-msndate
desig:,O-mds
a36,I-mds
dummy,O
,
unit:,O-naf
5,I-naf
af,I-naf
bl:,O-tons_of_he
nan,I-tons_of_he
target,O-tgt_location
hinh,I-tgt_location
dina,I-tgt_location
nan,O-tgt_industry
desig:,O-mds
b25,I-mds
dummy,O
,
unit:,O-naf
raf,I-naf
at,O-takeoff_base
nan,I-takeoff_base
tloc:,O-tgt_location
berlin,I-tgt_location
cities,O-tgt_industry
towns,I-tgt_industry
and,I-tgt_industry
urban,I-tgt_industry
areas,I-tgt_industry
on,O-msndate
1943-08-15,I-msndate
desig:,O-mds
lgt,I-mds
dummy,O
,
raf,O-naf
bl:,O-tons_of_he
4.0,I-tons_of_he
trgt,O-tgt_location
berlin,I-tgt_location
type:,O-tgt_industry
cities,I-tgt_industry
towns,I-tgt_industry
and,I-tgt_industry
urban,I-tgt_industry
areas,I-tgt_industry
dummy,O
,
nan,O-naf
payload:,O-tons_of_he
39.0kg,I-tons_of_he
during,O-takeoff_base
target,O-tgt_location
flushing,I-tgt_location
date,O-msndate
1943-08-15,I-msndate
dummy,O
,
unit,O-naf
nan,I-naf
nan,O-takeoff_base
to,O-tgt_location
flushing,I-tgt_location
air,O-tgt_industry
fields,I-tgt_industry
and,I-tgt_industry
airdromes,I-tgt_industry
b17,O-mds
dummy,O
,
unit,O-naf
nan,I-naf
nan,O-takeoff_base
type:,O-tgt_industry
air,I-tgt_industry
fields,I-tgt_industry
and,I-tgt_industry
airdromes,I-tgt_industry
date,O-msndate
1943-08-15,I-msndate
desig:,O-mds
b17,I-mds
dummy,O
,
unit:,O-naf
nan,I-naf
bl:,O-tons_of_he
5.0,I-tons_of_he
target,O-tgt_location
amiens,I-tgt_location
date,O-msndate
1943-08-15,I-msndate
desig:,O-mds
b17,I-mds
dummy,O
,
bl:,O-tons_of_he
5.0,I-tons_of_he
dept:,O-takeoff_base
nan,I-takeoff_base
trgt,O-tgt_location
amiens,I-tgt_location
type:,O-tgt_industry
air,I-tgt_industry
fields,I-tgt_industry
and,I-tgt_industry
airdromes,I-tgt_industry
b17,O-mds
dummy,O
,
nan,O-naf
payload:,O-tons_of_he
5.0kg,I-tons_of_he
